symbol,orderId,side,qty,orderPrice,orderType,execType,closedSize,cumEntryValue,avgEntryPrice,cumExitValue,avgExitPrice,closedPnl,fillCount,leverage,createdTime,updatedTime,tradeTime,cumPnL
BTCUSDT,cdb4be35-6008-47de-a4aa-343737d12090,Buy,0.109,28284.30,Limit,Trade,0.109,3053.42175048,28013.04,3082.9887,28284.30,-29.86791729,1,1,1680519604847,1680519637415,2023-04-03 11:00:21.131000064,-29.86791729
BTCUSDT,c63d2d3b-65d8-4c50-94fa-ad329b75b55f,Buy,0.426,28285.30,Limit,Trade,0.426,11933.55656611,28013.04,12046.4706,28278.10,-118.90874941,1,1,1680519637431,1680519637431,2023-04-03 11:00:37.431000064,-148.7766667
BTCUSDT,e7a58012-e539-46b8-aae0-0c6a7f775dad,Buy,0.110,28283.90,Limit,Trade,0.110,3081.43479406,28013.04,3111.229,28283.90,-30.09793268,2,1,1680519947060,1680519950467,2023-04-03 11:05:48.763500032,-178.87459938
BTCUSDT,6d462e3b-1268-4cde-bd2d-7bfb53e3097f,Buy,0.830,28274.10,Limit,Trade,0.830,23250.82617343,28013.04,23467.503,28274.10,-218.9681762,2,1,1680520111074,1680520111546,2023-04-03 11:08:31.310000128,-397.84277557999997
BTCUSDT,56f93e4e-3b79-4862-bb1e-4839a9d2f741,Buy,0.086,28233.10,Limit,Trade,0.086,2409.12174809,28013.04,2428.0466,28233.10,-19.16209256,1,1,1680520204924,1680520204937,2023-04-03 11:10:04.930500096,-417.00486814
BTCUSDT,c279cfd3-2866-4331-8b2b-f8c0706cd526,Buy,0.122,28230.60,Limit,Trade,0.122,3417.59131706,28013.04,3444.1332,28230.60,-26.87841838,1,1,1680520210094,1680520238771,2023-04-03 11:10:24.432499968,-443.88328651999996
BTCUSDT,ffa7d8fc-9a16-49b6-93d0-3381f3881ce1,Buy,0.636,28030.90,Limit,Trade,0.636,17882.5700009,28117.25,17827.6524,28030.90,53.53211918,1,1,1680539715266,1680539749594,2023-04-03 16:35:32.430000128,-390.35116733999996
BTCUSDT,b87d7763-7abd-45b9-91c7-6e403b9fb244,Buy,0.727,27524.40,Limit,Trade,0.727,20361.80902342,28007.99,20010.2388,27524.40,349.57740661,3,1,1680557140234,1680557148288,2023-04-03 21:25:44.260999936,-40.773760729999935
BTCUSDT,9953a232-cd24-4e1c-960f-733df3581d77,Buy,0.743,27711.60,Limit,Trade,0.743,20797.16903007,27990.81,20589.7188,27711.60,205.40629112,2,1,1680558820202,1680558843639,2023-04-03 21:53:51.920499968,164.63253039000006
BTCUSDT,f4b28901-2251-4db9-9459-ee48ef8087b8,Buy,1.559,27752.10,Limit,Trade,1.559,43637.66691505,27990.81,43265.5239,27752.10,367.85116249,10,1,1680560150073,1680560158268,2023-04-03 22:15:54.170500096,532.48369288
