symbol,orderId,side,qty,orderPrice,orderType,execType,closedSize,cumEntryValue,avgEntryPrice,cumExitValue,avgExitPrice,closedPnl,fillCount,leverage,createdTime,updatedTime,tradeTime,cumPnL
ETHUSDT,7d41062e-232a-4ee9-89e6-7a64f90c8ceb,Buy,17.67,1791.13,Limit,Trade,17.67,31691.43637488,1793.52,31649.2671,1791.13,31.09517031,3,1,1680471426832,1680471486813,2023-04-02 21:37:36.822500096,31.09517031
ETHUSDT,3988008b-ef5c-40fd-8ffa-ef734ea1aaf1,Buy,14.37,1785.99,Limit,Trade,14.37,25751.87713962,1792.06,25664.6763,1785.99,78.9987339,1,1,1680474373997,1680474374730,2023-04-02 22:26:14.363500032,110.09390421
ETHUSDT,94d5a098-3103-4499-90b9-792965715af8,Buy,6.78,1794.94,Limit,Trade,6.78,12141.2665691,1790.75,12169.6932,1794.94,-32.00903586,6,1,1680479809197,1680479878199,2023-04-02 23:57:23.697999872,78.08486835000001
ETHUSDT,dfed31a3-e94c-4784-a79b-07166ab88f4c,Buy,12.92,1783.64,Limit,Trade,12.92,23139.88161156,1791.01,23044.6288,1783.64,89.32526427,1,1,1680486115503,1680486124712,2023-04-03 01:42:00.107500032,167.41013262
ETHUSDT,c3121d19-36c9-4dce-a5fe-9da8ad3dfc9d,Buy,11.46,1779.27,Limit,Trade,11.46,20448.00472438,1784.29,20390.4342,1779.27,52.69916768,1,1,1680500140976,1680500141094,2023-04-03 05:35:41.035000064,220.10930030000003
ETHUSDT,9f45e0c2-c5c7-48dd-851c-e2eee616c818,Buy,8.32,1779.05,Limit,Trade,8.32,14845.32280163,1784.29,14801.696,1779.05,32.68951473,3,1,1680502246152,1680502246152,2023-04-03 06:10:46.152000000,252.79881503000001
ETHUSDT,9128a925-4a95-4089-9273-15e43d0cb1b1,Buy,7.24,1779.50,Limit,Trade,7.24,12918.28570719,1784.29,12883.58,1779.50,31.62799945,2,1,1680502804569,1680502806890,2023-04-03 06:20:05.729499904,284.42681448
ETHUSDT,8924a5a1-9be4-46d6-85d4-cd09dad9a07e,Buy,10.34,1786.29,Limit,Trade,10.34,18449.5958857,1784.29,18470.2386,1786.29,-24.12173403,1,1,1680505284419,1680505291558,2023-04-03 07:01:27.988499968,260.30508045
ETHUSDT,f7a5e79d-e56c-463b-85ad-35f1f2ee5f79,Buy,7.18,1790.78,Limit,Trade,7.18,12811.22809083,1784.29,12857.8004,1790.78,-48.98972004,5,1,1680508382553,1680508388805,2023-04-03 07:53:05.679000064,211.31536040999998
ETHUSDT,5eff3063-7f9d-42a0-991a-13f08f323cb1,Buy,3.23,1792.22,Limit,Trade,3.23,5763.26834727,1784.29,5788.8706,1792.22,-26.68998351,1,1,1680508528563,1680508551165,2023-04-03 07:55:39.864000000,184.6253769
ETHUSDT,49605daa-921a-4236-9ad8-ffce3b7e4590,Buy,3.59,1802.88,Limit,Trade,3.59,6405.61404542,1784.29,6472.3392,1802.88,-67.7303214,1,1,1680509123589,1680509130163,2023-04-03 08:05:26.876000000,116.8950555
ETHUSDT,f862ca4b-3887-4ccd-9acc-6164bd16dfa3,Buy,2.63,1805.04,Limit,Trade,2.63,4692.69218367,1784.29,4747.2552,1805.04,-55.29967605,3,1,1680509753620,1680509765524,2023-04-03 08:15:59.572000000,61.595379449999996
ETHUSDT,764c626e-25b8-43b0-9a1d-0c95297aefb3,Buy,3.55,1813.78,Limit,Trade,3.55,6334.24230117,1784.29,6438.919,1813.78,-105.67260075,3,1,1680510005238,1680510009522,2023-04-03 08:20:07.380000000,-44.077221300000005
ETHUSDT,62b190df-3e39-4f54-985f-2d20ebda0051,Buy,8.10,1813.02,Limit,Trade,8.10,14452.77820832,1784.29,14685.462,1813.02,-234.95582349,5,1,1680510177660,1680510182581,2023-04-03 08:23:00.120499968,-279.03304479
ETHUSDT,df665b77-9eea-4f6d-a634-52de9219d342,Buy,6.64,1812.99,Limit,Trade,1.20,2141.15232716,1784.29,2175.588,1812.99,-34.77226834,1,1,1680510410674,1680510434968,2023-04-03 08:27:02.820999936,-313.80531313
ETHUSDT,7cd36266-1c18-4fe0-b325-aa7203d452a3,Buy,5.44,1813.78,Limit,Trade,5.44,9706.55721646,1784.29,9866.9632,1813.78,-161.93209806,2,1,1680510444688,1680510457125,2023-04-03 08:27:30.906500096,-475.73741119
ETHUSDT,f938d7ed-3e05-4aa0-8199-62ff53580ae6,Buy,6.89,1812.07,Limit,Trade,6.89,12293.78294513,1784.29,12485.1623,1812.07,-193.31165717,1,1,1680511001031,1680511011025,2023-04-03 08:36:46.028000000,-669.04906836
ETHUSDT,4c9f8f86-5e8b-49a5-a72e-9915dec414cd,Buy,2.99,1811.55,Limit,Trade,2.99,5335.03788184,1784.29,5416.5345,1811.55,-82.3350867,1,1,1680511217719,1680511220100,2023-04-03 08:40:18.909499904,-751.38415506
ETHUSDT,44dc4ff2-2e35-4792-881b-46b23e7165b0,Buy,5.48,1811.99,Limit,Trade,5.48,9777.92896071,1784.29,9929.7052,1811.99,-153.3130848,1,1,1680511520742,1680511569989,2023-04-03 08:45:45.365499904,-904.6972398600001
ETHUSDT,acaf1237-43b8-467a-85f9-cc2c7396b415,Buy,6.64,1812.00,Limit,Trade,6.64,11847.70954363,1784.29,12031.68,1812.00,-190.64529487,2,1,1680511570000,1680511570000,2023-04-03 08:46:10.000000000,-1095.3425347300001
ETHUSDT,14e4b941-7f16-43fb-b557-10d9d36c5941,Buy,14.60,1813.49,Limit,Trade,2.71,4835.43567215,1784.29,4914.5579,1813.49,-79.88244043,6,1,1680511888777,1680511893982,2023-04-03 08:51:31.379500032,-1175.2249751600002
ETHUSDT,8244dda8-81ff-4cd1-b732-cda305d41fe7,Buy,11.89,1814.00,Limit,Trade,11.59,20679.96289324,1784.29,21024.26,1814.00,-347.54864381,2,1,1680511938795,1680511942058,2023-04-03 08:52:20.426500096,-1522.7736189700001
ETHUSDT,54f6f6bf-073e-489a-a22e-1f3d09c9813b,Sell,6.58,1806.68,Limit,Trade,6.58,11918.74761672,1811.36,11887.9544,1806.68,-31.98355181,4,1,1680516256994,1680516268165,2023-04-03 10:04:22.579500032,-1554.7571707800003
ETHUSDT,d745fb6c-3353-4b7d-bde9-1f0ab7fcf84a,Sell,6.68,1808.95,Limit,Trade,6.68,12096.72141901,1810.89,12083.786,1808.95,-14.14444438,5,1,1680518188152,1680518192995,2023-04-03 10:36:30.573499904,-1568.9016151600003
ETHUSDT,b4630c88-2b2c-4927-9212-9dab544186ae,Sell,7.07,1803.46,Limit,Trade,5.01,9072.54106427,1810.89,9035.3346,1803.46,-38.11185808,1,1,1680519467208,1680519481495,2023-04-03 10:57:54.351500032,-1607.0134732400004
ETHUSDT,a73015a7-c905-4368-889d-dc774f4d46b8,Buy,16.01,1807.40,Limit,Trade,16.01,28921.54251333,1806.47,28936.474,1807.40,-17.82438747,12,1,1680531322974,1680531331232,2023-04-03 14:15:27.103000064,-1624.8378607100003
ETHUSDT,cfa2b967-a18a-470a-bd50-fd17c78df94c,Buy,9.44,1798.29,Limit,Trade,9.44,17046.53628268,1805.78,16975.8576,1798.29,68.97756297,1,1,1680532888059,1680532893415,2023-04-03 14:41:30.736999936,-1555.8602977400003
ETHUSDT,492b40a6-ee84-4349-9a5c-eed11c506879,Buy,2.97,1828.00,Limit,Trade,2.97,5334.75072387,1796.21,5429.16,1828.00,-94.84616844,1,1,1680547203674,1680547233504,2023-04-03 18:40:18.588999936,-1650.7064661800002
ETHUSDT,d368a207-75cf-43bb-92d9-f53e8e87b425,Buy,4.80,1828.00,Limit,Trade,4.80,8621.81935172,1796.21,8774.4,1828.00,-153.28673687,2,1,1680547233513,1680547233989,2023-04-03 18:40:33.751000064,-1803.9932030500001
ETHUSDT,7099ff52-ad9d-40c5-b13e-e4392229fb3e,Buy,10.36,1827.49,Limit,Trade,10.36,18608.76010077,1796.21,18932.7964,1827.49,-325.56000958,10,1,1680547483575,1680547491128,2023-04-03 18:44:47.351500032,-2129.55321263
