,Contracts,Closing Direction,Qty,Entry Price,Exit Price,Closed P&L,Exit Type,Trade Time
0,BTCUSDT,Close Long,0.677 BTC,29914.2,30684.9,510.37950449,Trade,2023-04-14 08:46:58
1,ETHUSDT,Close Long,2.13 ETH,1934.37,2103.98,189.66940755,Trade,2023-04-14 08:46:46
2,ETHUSDT,Close Long,20.00 ETH,1934.37,2103.24,3359.0132443,Trade,2023-04-14 08:46:46
3,ETHUSDT,Close Long,4.81 ETH,1934.37,2108.15,831.45860442,Trade,2023-04-14 08:45:08
4,ETHUSDT,Close Long,9.06 ETH,1934.37,2118.19,1657.07322733,Trade,2023-04-14 08:43:04
5,ETHUSDT,Close Long,7.63 ETH,1934.37,2114.3,1365.84713331,Trade,2023-04-14 08:42:04
6,ETHUSDT,Close Long,12.71 ETH,1934.37,2107.46,2188.28643506,Trade,2023-04-14 08:41:09
7,BTCUSDT,Close Long,1.326 BTC,29914.2,30707.8,1030.01413716,Trade,2023-04-14 08:41:02
8,BTCUSDT,Close Long,0.590 BTC,29914.2,30780.4,501.13377456,Trade,2023-04-14 08:40:09
9,ETHUSDT,Close Long,47.71 ETH,1934.37,2122.8,3320.79650745,Trade,2023-04-14 08:40:05
