Contracts,Closing Direction,Qty,Entry Price,Exit Price,Closed P&L,Exit Type,Trade Time
ETHUSDT,Close Long,3.96ETH,1913.07,1867.96,-183.37061056,Trade,2023-04-12 10:15:49
ETHUSDT,Close Long,4.16ETH,1913.07,1859.74,-226.82524278,Trade,2023-04-12 10:20:37
ETHUSDT,Close Long,7.53ETH,1913.07,1862.48,-389.94433119,Trade,2023-04-12 10:26:03
ETHUSDT,Close Long,2.59ETH,1913.07,1859.84,-140.9615367,Trade,2023-04-12 10:30:57
BTCUSDT,Close Long,0.700BTC,29400.7,29952.5,378.43405927,Trade,2023-04-12 10:39:10
ETHUSDT,Close Long,2.47ETH,1913.07,1862.86,-126.9714732,Trade,2023-04-12 10:41:02
ETHUSDT,Close Long,5.47ETH,1913.07,1860.41,-294.58866741,Trade,2023-04-12 10:46:02
ETHUSDT,Close Long,7.51ETH,1913.07,1860.41,-404.45354521,Trade,2023-04-12 10:46:02
ETHUSDT,Close Long,2.50ETH,1913.07,1864.66,-124.013861860,Trade,2023-04-12 11:36:15
BTCUSDT,Close Long,0.109BTC,29400.7,29919.0,55.28717127,Trade,2023-04-12 11:42:03
ETHUSDT,Close Long,17.71ETH,1934.37,2122.8,3320.79650745,Trade,2023-04-14 08:40:05
BTCUSDT,Close Long,0.590BTC,29914.2,30780.4,501.13377456,Trade,2023-04-14 08:40:09
BTCUSDT,Close Long,1.326BTC,29914.2,30707.8,1030.01413716,Trade,2023-04-14 08:41:02
ETHUSOT,Close Long,12.71ETH,1934.37,2107.46,2188.28643506,Trade,2023-04-14 08:41:09
ETHUSOT,Close Long,7.63ETH,1934.37,2114.3,1365.84713331,Trade,2023-04-14 08:42:04
ETHUSDT,Close Long,9.06ETH,1934.37,2118.19,1657.07322733,Trade,2023-04-14 08:43:04
ETHUSDT,Close Long,4.81ETH,1934.37,2108.15,831.45860442,Trade,2023-04-14 08:45:08
ETHUSDT,Close Long,1.13ETH,1934.37,2103.98,189.66940755,Trade,2023-04-14 08:46:46
ETHUSDT,Close Long,20.00ETH,1934.37,2103.24,3359.0132443,Trade,2023-04-14 08:46:46
BTCUSDT,Close Long,0.677BTC,29914.2,30684.9,510.37950449,Trade,2023-04-14 08:46:58
ETHUSDT,Close Long,8.42ETH,1934.37,2095.77,1349.64551035,Trade,2023-04-14 08:52:19
BTCUSDT,Close Long,0.775BTC,29914.2,30722.5,613.39868478,Trade,2023-04-14 08:55:27
ETHUSDT,Close Long,9.66ETH,1934.37,2096.62,1558.45739444,Trade,2023-04-14 09:01:45
BTCUSDT,Close Long,0.898BTC,29914.2,30774.2,787.17527079,Trade,2023-04-14 09:06:13
ETHUSDT,Close Long,2.59ETH,1934.37,2207.0,444.73012822,Trade,2023-04-14 09:20:41
BTCUSDT,Close Long,0.676BTC,29914.2,30803.1,589.52482523,Trade,2023-04-14 09:33:05
ETHUSDT,Close Long,2.74ETH,1934.37,2125.6,521.31211277,Trade,2023-04-14 09:50:09
BTCUSDT,Close Long,0.727BTC,29914.2,30782.0,618.73457396,Trade,2023-04-14 10:17:27
ETHUSDT,Close Long,5.31ETH,1964.06,2104.58,741.881171610,Trade,2023-04-14 10:51:03
ETHUSDT,Close Long,9.29ETH,1964.06,2203.92,1291.71877665,Trade,2023-04-14 11:00:06
BTCUSDT,Close Short,0.805BTC,30290.9,30214.5,61.93957974,Trade,2023-04-16 09:23:46
ETHUSDT,Close Short,9.58ETH,2090.07,2090.03,-1.44180672,Trade,2023-04-16 10:36:07
ETHUSDT,Close Short,9.96ETH,2090.07,2089.34,6.61666395,Trade,2023-04-16 11:39:12
BTCUSDT,Close Short,0.975BTC,30291.8,30320.0,-28.35849721,Trade,2023-04-16 13:41:39
BTCUSDT,Close Short,2.471BTC,30291.8,30310.0,-22.34869678,Trade,2023-04-16 13:53:59
BTCUSDT,Close Short,0.952BTC,30291.8,30323.21,-42.187911570,Trade,2023-04-16 14:36:35
ETHUSDT,Close Short,9.53ETH,2090.07,2099.46,-90.11741742,Trade,2023-04-16 14:40:54
BTCUSDT,Close Short,0.961BTC,30291.8,30334.21,-41.21056508,Trade,2023-04-16 15:31:13
ETHUSDT,Close Short,9.56ETH,2090.07,2099.71,-100.31868273,Trade,2023-04-16 15:52:05
BTCUSDT,Close Short,0.965BTC,30294.7,30298.8,-1.98937236,Trade,2023-04-16 17:32:07
