Contracts,Leverage,Filled Type,Filled/Total,Filled Price/Order Price,Fee Rate,Fee Paid,Trade Type,Order Type,Trade ID,Trade Time
ETHUSDT,Cross10x,Trade,0.07/20.00,2099.66/2099.66,0.005%,0.00734881,Open Long,Limit,1b91dbt4,2023-04-15 15:57:00
ETHUSDT,Cross10x,Trade,0.01/20.00,2099.66/2099.66,0.005%,0.00104983,Open Long,Limit,a721d839,2023-04-15 15:57:00
ETHUSDT,Cross10x,Trade,0.13/20.00,2099.66/2099.66,0.005%,0.01364779,Open Long,Limit,fOca9daa,2023-04-15 15:57:00
ETHUSDT,Cross10x,Trade,0.01/20.00,2099.66/2099.66,0.005%,0.00104983,Open Long,Limit,2f70fd2e,2023-04-15 15:57:00
ETHUSDT,Cross10x,Trade,0.02/20.00,2099.66/2099.66,0.005%,0.00209966,Open Long,Limit,e43a3c81,2023-04-15 15:57:01
ETHUSDT,Cross10x,Trade,0.02/20.00,2099.66/2099.66,0.005%,0.00209966,Open Long,Limit,Sa7actae,2023-04-15 15:57:01
ETHUSDT,Cross10x,Trade,3.56/20.00,2099.66/2099.66,0.005%,37373948.0,Open Long,Limit,e097ccc2,2023-04-15 15:57:03
ETHUSDT,Cross10x,Trade,0.74/20.00,2099.66/2099.66,0.005%,0.07768742,Open Long,Limit,92eb2bd3,2023-04-15 15:57:05
ETHUSDT,Cross10x,Trade,0.02/20.00,2099.66/2099.66,0.005%,0.00209966,Open Long,Limit,9127923,2023-04-15 15:57:05
ETHUSDT,Cross10x,Trade,0.02/20.00,2099.66/2099.66,0.005%,0.00209966,Open Long,Limit,3ed97064,2023-04-15 15:57:06
ETHUSDT,Cross10x,Trade,5.34/9.83,2086.78/2086.78,0.004%,0.44573621,Open Short,Limit,a998cece,2023-04-16 18:12:36
BTCUSDT,Cross10x,Trade,0.004/1.056,30273.2/30273.2,0.004%,0.00484372,Open Short,Limit,bf90a266,2023-04-16 18:18:46
BTCUSDT,Cross10x,Trade,1.052/1.056,30273.2/30273.2,0.004%,1.27389626,Open Short,Limit,1766c49d,2023-04-16 18:18:46
ETHUSDT,Cross10x,Trade,9.09/9.09,2088.05/2088.05,0.004%,0.75921498,Open Short,Limit,78e54dd6,2023-04-16 18:31:38
BTCUSDT,Cross10x,Trade,0.165/0.165,30287.1/30287.1,0.004%,0.19989486,Open Short,Limit,34954d7,2023-04-16 18:42:35
BTCUSDT,Cross10x,Trade,0.266/0.970,30273.2/30273.2,0.0425%,3.42238526,Open Short,Limit,ba31757c,2023-04-16 18:52:49
BTCUSDT,Cross10x,Trade,0.704/0.704,30270.0/30270.0,0.0425%,9.056784,Open Short,Limit,964cB2cc,2023-04-16 18:53:02
ETHUSDT,Cross10x,Trade,3.08/13.64,2087.37/2087.37,0.004%,0.25716399,Open Short,Limit,c84b2d43,2023-04-16 18:53:15
ETHUSDT,Cross10x,Trade,10.56/13.64,2087.37/2087.37,0.004%,0.88170509,Open Short,Limit,db43be98,2023-04-16 18:53:15
ETHUSDT,Cross10x,Trade,5.65/5.65,2086.71/2086.71,0.004%,0.47159646,Open Short,Limit,Sba45684,2023-04-16 19:24:52
