,Contracts,Leverage,Filled Type,Filled/Total,Filled Price/Order Price,Fee Rate,Fee Paid,Trade Type,Transaction Time
0,ETHUSDT,Cross10x,Trade,"5.65/5.65,","2,086.71/2,086.71.",0.004%,0.47159646,Open Short,2023-04-16 19:24:52
1,ETHUSDT,Cross40x,Trade,10.56/13.64,"2,087.37/2,087.37",0.004%,0.88170509,Open Short,2023-04-16 18:53:15
2,ETHUSDT,Cross10x,Trade,3.08/13.64,"2,087.37/2,087.37",0.004%,0.25716399,Open Short,2023-04-16 18:53:15
3,BTCUSDT,Cross10x,Trade,0.704/0.704,"30,270.0/30,270.0",0.0425%,9.056784,Open Short,2023-04-16 18:53:02
4,BTCUSDT,Cross40x,Trade,0.266/0.970,"30,273.2/30,273.2",0.0425%,3.42238526,Open Short,2023-04-16 18:52:49
5,BTCUSDT,Cross10x,Trade,0.165/0.165,"30,287.1/30,287.1",0.004%,0.19989486,Open Short,2023-04-16 18:42:35
6,ETHUSDT,Cross10x,Trade,9.09/9.09,"2,088.05/2,088.05",0.004%,0.75921498,Open Short,2023-04-16 18:31:38
7,BTCUSDT,Cross10x,Trade,0.004/1.056,"30,273.2/30,273.2",0.004%,0.00484372,Open Short,2023-04-16 18:18:46
8,BTCUSDT,Cross10x,Trade,1.052/1.056,"30,273.2/30,273.2",0.004%,1.27389626,Open Short,2023-04-26 18:18:46
9,ETHUSDT,Cross10x,Trade,5.34/9.83,"2,086.78/2,086.78",0.004%,0.44573621,Open Short,2023-04-16 18:12:36
